Tenent,knights_owed,knights_own,Associated_Place
Avranches,5,5,
item,5,5,Saint-Philibert
Bayeux,20,120,
Coutances,5,13,
Lisieux,20,43.33,
Seez,5,6,
Bernay,2,,
Fecamp,10,13.75,
Jumieges,3,4,
La-Trinite-du-Mont,,6.75,
Montivilliers,3,5.33,
Mont-Saint-Michel,7,,
Saint-Denis,1,,Berneval
Saint-Etienne-de-Caen,1,,
Saint-Evroul,2,6,
Saint-Ouen-de-Rouen,6,14,
Saint-Wandrille,,4,
"Aguillon, Manasser",1,,
"Alencon, count of",20,111,
"Alisi, fee of",1,3,
"Ambrieres, Archard of",1,11,
"Anet, Simon of",2,4,
"Aubigny, William of",,,Bacqueville
"Aufay, Richard of",5,16,
"Aufay, Walter of",2,,
"Aunay, Gilbert of",0.5,,
"Aunou, Fulk of",4,34.5,
"Auviller, Robert of",1,2.5,
"Avranches, Gilbert of",2,,
"Baudemont, Goel of",1,,
"Baudet, William of",1,,
"Beaufou, Richard of",2,6.75,
"Bertram, Robert",5,34.5,
"Biset, Manasser of",1,,
"Bohun, Engeler of",2.86,7,
"Bohun, Humphrey of",2.14,2,
"Bois-Baudouin, fee of",3,,
"Bois-Geraud, Walter of",1,,
"Boissay, William of",1,,
"Bonescox, Robert de",1,3,
"Bordet, William",1,,
"Bos, Michael of",0.5,,
"Bosleio, Henry de",1,7,
"Brecey, Henry of",1,,
"Bretel, Hugh of",1,,
"Briouze, William of",3,,
Item,,1,Couvert
"Brisy, Richard of",1,,
"Bruecourt, Geoffrey of",1,,
"Bruecourt, Gilbert of",0.25,,
"Cailly, Osbert fitz Roger",,12,*
"Caletot, Robert",0.5,,
"Caletot, William",1,,
"Campellis, Robert de",1,,Campeaux
"Cartreit, Philip de",1,,
"Champernon, Jordan of",1,,
"Chester, earl of",10,51.88,
"Corc, William",1,,
"Coulonces, Thomas of",2,2,
"Courcy, William of",5,33.58,
Item,3,17.25,Ascojol
"Crespin, Jocelin",3,32,
Item,1,2,Neufmarche
"Dive, William of",0.75,,
"Domfron, Henry of",1,,
"Duel, William of",0.5,,
"Emondeville, Helias of",1,,
"Emondeville, Roger of",1,1,
"Esneval, Robert of",3,12.25,
"Euremou, Hugh of",1,,
"Ferrers, Walchelin of",5,46.75,
"Ferrers, William of",1,5,
"Ferte, Matthew de",2,15,
"Filius Estulti, William",0.5,,
"Fitz Count, Richard",3,11,
"Fitz Erneis, Eudo",1,2.79,
"Flers, Fee of",1,,
"Fontaine, Gilbert de",0.5,,
"Frollei, Oliver de (et al.)",1,1,
"Gamages, Godfrey of",0.5,,
"Giffard, Honor of",,102.91,
"Gisors, John of",3,,
Gournay. Hugh of,12,,
"Graville, Matthew of",4,12.5,
"Harcourt, Robert of",1,1,
"Hummet, Jordan of",3.5,13,
"Hummet, Richard of",3.5,18,
"Ivry, Waleran of",,8.5,
Item,1,3.5,Pincernatu
"Laigle, Richer of",2.5,5.5,
"La Haie, Ralph de",2.5,6.5,La Haie-Plessis
"La Haie, William de",0.25,,
"Lammerville, fee of",0.5,,
"Leicester, Earl of",,81,Breteuil
Item,10,40,Paci-sur-Eure
Item,,17.5,Grandmesnil
"Lespervier, Roger of",0.5,,
"Lindeboeuf, Matthew of",0.25,,
"Linguevre, Sello of",0.5,,
"Lucy, Richard of",1,17,
"Mandeville, Roger of",2.5,3,
"Marcel, Roger",1,,
"Martel, Geoffrey",2,8.33,
"Martinvast, Richard of",,,
"Mauquenchy, Geoffrey of",,,
"Mauquenchy, Hugh of",0.5,,
"Merie, fee of",1,4.75,
"Mesnil, Jordan of",1,1,
"Meulan, count of",15,75,
"Moiun, William of",5,11.5,
"Molis, William of",0.25,,
"Montague, Roger of",0.25,,
"Montegorel, Eudo of",1,,
"Montfort, Geoffrey of",3.5,13.5,
"Montfort, Honor of",,21.9,
"Montfort, Robert of",6,33.58,Coquainvilliers
Item,2.5,11,Orbec
"Montpicon, Hugh of",3,12,
"Mortague, William of",1.5,,
"Mortain, Honor of",29.66,37.66,
"Mortemer, Hugh of",5,13.5,
"Mowbray, Nigel of",5,11.39,
"Muchdent, Marcel de",1,,
"Neubourg, Henry of",10,15.6,
"Nonant, Guy of",1,11.25,
"Nonant, John of",1,3.5,
"Nonant, Roger of",1,11.5,
"Oilly, Richard of",0.5,,
"Orval, William of",2.5,6,
"Ossell, Robert of",0.25,,
"Patri, William",1,3,
"Pavilly, Roger of",6,,
"Paynel, Gervase",1,4,
"Paynel, Hugh",5,6,
"Percy, Gerbert of",1,4,
"Picot, Alexander",,1,
"Picot, William",0.5,,
"Poissy, Robert of",1,,
"Pomeray, Henry of",,,
"Porcus, Osbern",1,,
"Preaux, John of",0.5,,
"Preaux, Michel of",0.25,,
"Recuchon, Radulf de",1,,
"Rollos, Richard de",1,,
"Roumare, William of",3.5,14,Individual unsure number to serve with so 3.5
"Rovres, Gilbert of",1,,
"Sable, Amaury of",3,11.5,
"Saint-Andre, Roger of",1,,
"Saint-Cernay, William of",5,21,
"Saint-Hilaire, Hasculf of",1,,
"Saint-Leonard, Robert of",1,,
"Saint-Mere-Eglise, Honor of",,3.5,
"Saint-Saens, Honor of",3,7,
"Saint-Valery, Guy of",1,,
"Sap (Le), fee of",1,,
"Sifrewast, William of",0.33,,
"Solingny, John de",1,3,
Item,1,4,
"Stuteville, Nicholas of",1,,
"Stuteville, William of",1,,
"Surivie, Robert",1,2,
"Taisson, Jordan",10,30.5,Thury
Item,5,15,Saint-Sauveur-le-Vicomte
"Talebot, Hugh",1,,
"Talebot, Richard",1,,
"Tancarville, lord of",10,94.75,
"Theville, Radulf of",1,,
"Tillieres, Gilbert of",3,4,
"Tilly, Henry of",,,
"Torneby, Thomas of",3,17,
"Tosny and Conches, lord of",,50,
"Tracy, Turgil of",2,8,Tracy-sur-Mer
Item,0.25,,Gavray
"Tracy, William of",1,5,
"Tresgoz, William",1.5,,
"Trussebut, Geoffrey",,1,
"Valognes, Godard of",2,,
"Valognes, Peter of",1,,
"Vascoeuil, Gilbert of",1,,
"Vassy, Juliana of",4,,
"Ver, Radulf of",1,,
"Vernon, Richard of",16,,Vernon
Item,10,30,Nehou
"Vieuxpont, Fulk of",2,10.25,
"Vieuxpont, William of",2,11.25,
"Villana, Hameline de",1,,
"Vitry, Robert of",,,
"Evreux, bishop of",,,
"Rouen, archbishop of",,,
"Arundel, earl of",,,
"Amale, count of",,,
"Bacon, Roger",,,Champigny
"Bardolf, Doun",,,
"Bigod, Hugh",2,,
"Camville, Gerard of",,,
"Courtenay, William of",,,
"Eu, count of",9,,
"Evreux, count of",,39.5,
Item,,18.4,Valle-Rodol
"Gloucester, earl of",,,Saint-Scolasse-sur-Sarth
"Hummet, William of (for fee of Say)",,,
"Laigle, Richer of (excepting the honor of Crepun)",,,
"Mandeville, Earl William of",,,
"Marmion, Robert",,,
"Mayenne, William of",,,
"Preaux, Osbert of",3,7,
"Rufus, Robert",,,
"Saint-Clair, Hugh of",,,
"Saint-Valery, Bernard of (for the fee of Valle-Dunt)",,1,
"Stuteville, Robert of",1,5.5,
"Warenne, earl of",,,
